,Title,Publised_date,Views,Likes,Comments
396,  44 Python Tutorial for Beginners   Decorators,2019-03-17,440924,7900,419
397,Quick LIVE Q&A,2019-03-16,3564,336,15
398,  25 Python Tutorial for Beginners   Prime Number in Python,2019-03-15,661691,10089,983
399,  24 Python Tutorial for Beginners   For Else in Python,2019-03-15,391709,6644,240
400,Kalyan (Thane) Meetup,2019-03-13,2225,91,15
401,  38 Python Tutorial for Beginners   Fibonacci Sequence,2019-03-13,570390,9651,1224
402,Smart Contract   Ethereum   Blockchain,2019-03-12,86236,2016,78
403,What is Ethereum?   Blockchain,2019-03-11,76243,1806,65
404,Proof of Work in Blockchain,2019-03-10,82018,1541,59
405,Ask ANYTHING   LIVE,2019-03-09,7293,470,53
406,Consensus in Blockchain,2019-02-25,78035,2035,64
407,Saturday LIVE,2019-02-23,6260,466,22
408,What after Python?,2019-02-19,426715,15899,611
409,Mumbai Meetup   22nd Feb,2019-02-17,2333,66,31
410,TEDx   Award   Tour   Now Im Back,2019-02-16,4698,220,34
411,Future of Education   Online   AR   AI,2019-02-16,5968,267,53
412,Theming Theme Roller Customizations in JQuery UI,2019-02-16,33254,647,127
413,Delhi Meetup   8th Feb,2019-02-07,2415,70,21
